Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score,performance_label
INT0238,1.25,1.0,3.33,78.44,High
INT0239,5.28,4.0,91.83,76.7,High
INT0240,2.03,2.9,64.76,60.79,Medium
INT0241,6.21,2.18,44.04,57.45,Medium
INT0242,6.43,1.66,89.64,45.35,Low
INT0243,6.0,4.5,96.89,64.3,Medium
INT0244,3.5,3.07,88.96,72.88,High
INT0245,1.41,2.87,5.03,78.77,High
INT0246,7.0,3.87,62.13,73.31,High
INT0247,3.48,1.44,40.3,60.39,Medium
INT0248,6.32,5.0,61.68,58.89,Medium
INT0249,6.51,4.0,90.4,74.13,High
INT0250,6.21,2.68,69.35,37.4,Low
INT0251,3.23,3.6,61.59,86.54,High
INT0252,2.91,1.01,63.12363354037267,55.26,Medium
INT0253,5.73,2.9336670179135935,91.21,45.19,Low
INT0254,3.9282564102564104,3.41,42.07,67.23,Medium
INT0255,3.9282564102564104,2.9336670179135935,72.01,97.53,High
INT0256,4.09,1.0,63.12363354037267,49.12,Low
INT0257,6.93,1.35,53.51,52.19,Medium
INT0258,4.81,4.61,97.41,67.83,Medium
INT0259,4.85,5.0,78.68,81.03,High
INT0260,1.28,1.8,54.1,67.66,Medium
INT0261,4.27,3.53,63.06,72.83,High
INT0262,6.78,1.72,93.29,64.95,Medium
INT0263,1.53,3.48,45.62,86.99,High
INT0264,4.14,5.0,96.36,90.39,High
INT0265,3.9282564102564104,4.09,53.24,60.4,Medium
INT0266,5.43,1.0,55.66,34.07,Low
INT0267,5.34,1.88,79.84,59.19,Medium
INT0268,5.07,2.39,67.7,53.6,Medium
INT0269,2.69,2.04,73.21,67.28,Medium
INT0270,3.23,2.9336670179135935,66.4,69.27,Medium
INT0271,6.18,1.54,70.24,49.57,Low
INT0272,5.43,2.53,91.13,59.18,Medium
INT0273,6.15,4.0,79.67,73.16,High
INT0274,3.9282564102564104,1.15,99.87,50.1,Medium
INT0275,3.76,2.69,89.34,87.43,High
INT0276,4.09,1.0,63.68,68.06,Medium
INT0277,5.82,3.29,63.22,58.39,Medium
INT0278,4.61,5.0,66.79,77.1,High
INT0279,4.85,2.24,92.16,58.56,Medium
INT0280,6.03,2.52,9.8,44.52,Low
INT0281,6.16,1.64,27.5,43.47,Low
INT0282,2.77,4.1,69.96,74.49,High
INT0283,3.49,3.7,81.99,88.46,High
INT0284,1.8,5.0,0.0,88.24,High
INT0285,4.25,2.24,60.96,48.52,Low
INT0286,1.59,1.23,0.14,68.62,Medium
INT0287,3.98,1.71,94.69,69.64,Medium
INT0288,4.11,1.19,62.81,49.9,Low
INT0289,2.65,1.48,50.2,77.44,High
INT0290,4.77,2.37,91.73,58.8,Medium
INT0291,1.0,4.69,0.07,85.31,High
INT0292,1.19,1.0,2.4,65.39,Medium
INT0293,6.09,3.87,75.92,47.45,Low
INT0294,3.2,3.51,57.92,89.14,High
INT0295,1.87,2.74,66.3,79.46,High
INT0296,4.18,2.9336670179135935,57.83,85.64,High
INT0297,5.32,5.0,85.44,76.56,High
INT0298,2.2,3.24,76.97,74.23,High
INT0299,4.77,1.0,68.51,50.07,Medium
INT0300,1.79,5.0,18.48,87.01,High
INT0301,1.46,5.0,66.13,100.0,High
INT0302,4.12,4.0,64.66,73.02,High
INT0303,4.71,1.8,82.74,50.93,Medium
INT0304,4.43,4.79,52.01,74.55,High
INT0305,5.07,1.83,80.48,55.53,Medium
INT0306,6.7,1.9,85.86,64.18,Medium
INT0307,3.83,5.0,68.44,79.91,High
INT0308,3.07,3.54,60.77,62.92,Medium
INT0309,5.31,5.0,76.88,74.35,High
INT0310,2.3,2.04,91.66,69.28,Medium
INT0311,3.42,4.0,66.18,87.04,High
INT0312,1.65,2.93,62.62,70.75,High
INT0313,1.53,3.81,1.01,92.23,High
INT0314,7.0,2.81,76.31,43.63,Low
INT0315,5.7,2.84,67.96,59.05,Medium
INT0316,5.25,2.13,14.07,55.72,Medium
INT0317,2.98,2.71,89.08,71.14,High
INT0318,1.85,1.0,84.96,67.25,Medium
INT0319,2.25,4.62,56.43,80.1,High
INT0320,2.46,1.0,99.25,74.15,High
INT0321,3.95,4.01,80.4,71.83,High
INT0322,5.23,2.81,0.0,55.53,Medium
INT0323,4.66,4.62,69.11,80.73,High
INT0324,2.57,1.0,94.93,56.25,Medium
INT0325,6.72,1.6,62.2,35.67,Low
INT0326,5.28,1.0,64.29,50.89,Medium
INT0327,4.77,2.46,56.12,58.22,Medium
INT0328,4.73,2.9336670179135935,87.96,62.15,Medium
INT0329,3.86,2.77,79.78,67.59,Medium
INT0330,2.75,4.0,80.45,89.55,High
INT0331,3.3,3.65,60.92,74.7,High
INT0332,5.55,4.92,57.72,63.48,Medium
INT0333,1.0,1.8,2.6,67.15,Medium
INT0334,1.81,3.58,63.12363354037267,84.1,High
INT0335,1.14,1.0,1.77,73.74,High
INT0336,1.0,4.95,0.29,88.64,High
INT0337,6.07,1.0,61.55,46.52,Low
INT0338,5.46,1.0,27.09,53.19,Medium
INT0339,4.31,3.2,77.56,62.61,Medium
INT0340,1.46,4.24,98.48,100.0,High
INT0341,3.99,2.31,99.06,59.62,Medium
INT0342,4.19,1.26,64.09,71.53,High
INT0343,1.87,2.37,46.74,62.71,Medium
INT0344,3.24,4.62,53.15,75.38,High
INT0345,3.17,5.0,93.67,92.46,High
INT0346,5.1,2.54,78.43,60.35,Medium
INT0347,4.47,3.75,69.26,59.78,Medium
INT0348,1.1,5.0,9.09,92.66,High
INT0349,3.21,2.08,63.12363354037267,79.05,High
INT0350,5.11,1.0,76.51,65.53,Medium
INT0351,4.46,4.11,64.15,64.49,Medium
INT0352,6.07,1.76,63.12363354037267,63.74,Medium
INT0353,5.38,1.23,33.4,46.39,Low
INT0354,1.64,4.08,80.09,93.69,High
INT0355,1.08,2.54,96.5,84.07,High
INT0356,5.3,1.0,92.83,56.42,Medium
INT0357,1.17,3.14,0.08,91.55,High
INT0358,4.2,2.31,63.12363354037267,61.01,Medium
INT0359,6.63,1.0,71.16,40.36,Low
INT0360,4.73,4.34,62.62,64.06,Medium
INT0361,3.66,4.0,99.17,95.43,High
INT0362,5.22,4.35,65.19,72.55,High
INT0363,3.82,4.63,66.19,79.58,High
INT0364,4.64,4.27,99.48,84.79,High
INT0365,6.66,1.0,56.7,27.63,Low
INT0366,3.43,2.32,53.31,66.08,Medium
INT0367,7.0,2.27,96.79,69.86,Medium
INT0368,6.36,1.47,75.59,52.87,Medium
INT0369,1.74,2.41,50.13,75.99,High
INT0370,1.27,3.23,6.28,86.0,High
INT0371,1.72,2.26,55.58,71.69,High
INT0372,1.0,5.0,7.36,96.1,High
INT0373,1.22,2.81,65.68,87.78,High
INT0374,4.89,4.46,71.94,59.94,Medium
INT0375,1.0,5.0,48.91,98.94,High
INT0376,3.15,1.0,77.84,75.69,High
INT0377,5.83,1.51,63.12363354037267,42.61,Low
INT0378,1.0,2.85,1.52,90.54,High
INT0379,6.09,5.0,65.42,67.07,Medium
INT0380,3.03,2.11,65.42,86.25,High
INT0381,1.23,3.95,78.3,87.63,High
INT0382,4.91,1.83,65.03,63.56,Medium
INT0383,5.22,1.02,8.59,54.68,Medium
INT0384,6.15,3.45,68.06,73.53,High
INT0385,5.85,5.0,81.13,76.56,High
INT0386,5.59,1.0,61.54,40.08,Low
INT0387,2.41,3.12,96.02,62.74,Medium
INT0388,1.77,3.9,78.75,100.0,High
INT0389,5.09,2.47,96.0,78.09,High
INT0390,6.24,4.0,52.32,71.44,High
INT0391,7.0,3.55,67.13,67.61,Medium
INT0392,3.93,2.9336670179135935,51.14,68.61,Medium
INT0393,3.58,2.59,63.61,74.37,High
INT0394,6.01,4.78,93.1,68.34,Medium
INT0395,3.2,2.0,51.83,48.54,Low
INT0396,6.91,1.98,71.81,66.75,Medium
INT0397,5.86,1.02,55.88,54.57,Medium
INT0398,3.46,4.39,70.84,75.2,High
INT0399,5.65,2.01,91.94,66.46,Medium
INT0400,5.9,3.77,81.15,65.61,Medium
INT0401,1.78,2.49,86.84,74.15,High
INT0402,6.76,1.11,1.04,45.88,Low
INT0403,4.0,3.24,63.12363354037267,55.49,Medium
INT0404,6.18,1.58,52.26,44.68,Low
INT0405,3.4,4.0,71.09,94.21,High
INT0406,6.02,1.0,71.32,36.49,Low
INT0407,3.77,1.08,95.93,65.01,Medium
INT0408,1.09,1.36,9.12,84.2,High
INT0409,6.57,2.9336670179135935,85.32,63.85,Medium
INT0410,1.93,3.22,70.85,65.47,Medium
INT0411,2.83,2.9336670179135935,61.18,78.35,High
INT0412,6.62,2.14,86.18,65.83,Medium
INT0413,6.73,1.0,46.76,47.76,Low
INT0414,3.96,1.15,75.07,61.18,Medium
INT0415,4.79,2.75,54.83,78.44,High
INT0416,3.48,4.0,60.41,74.0,High
INT0417,3.19,1.79,89.7,87.43,High
INT0418,2.56,1.0,66.5,65.72,Medium
INT0419,3.9282564102564104,2.9336670179135935,94.56,67.78,Medium
INT0420,5.96,2.24,66.07,61.87,Medium
INT0421,6.15,3.35,70.3,48.71,Low
INT0422,5.94,2.59,90.42,58.5,Medium
INT0423,1.64,3.2,79.76,81.25,High
INT0424,3.75,1.31,13.64,62.62,Medium
INT0425,1.22,4.92,96.33,100.0,High
INT0426,3.9282564102564104,2.9336670179135935,76.8,80.96,High
INT0427,3.94,3.89,75.75,67.0,Medium
INT0428,6.15,4.0,7.48,65.44,Medium
INT0429,3.28,1.0,0.0,51.6,Medium
INT0430,1.56,5.0,50.37,80.71,High
INT0431,1.82,2.41,95.66,66.58,Medium
INT0432,5.63,1.0,70.42,44.42,Low
INT0433,5.01,5.0,73.43,66.16,Medium
INT0434,1.32,1.0,92.27,78.82,High
INT0435,1.4,5.0,80.46,100.0,High
INT0436,4.84,2.25,80.48,61.5,Medium
INT0437,1.02,1.95,3.23,65.93,Medium
INT0438,6.03,2.9336670179135935,91.7,65.66,Medium
INT0439,4.93,4.42,63.12363354037267,49.97,Low
INT0440,1.05,3.18,52.66,65.0,Medium
INT0441,1.91,3.57,59.58,84.26,High
INT0442,6.95,3.04,63.39,62.45,Medium
INT0443,2.88,3.41,64.12,77.19,High
INT0444,2.77,5.0,83.53,91.12,High
INT0445,5.5,2.87,60.89,41.71,Low
INT0446,6.65,4.66,83.83,70.34,High
INT0447,7.0,4.18,54.56,44.28,Low
INT0448,5.66,2.9336670179135935,22.49,60.76,Medium
INT0449,2.9,3.7,75.44,66.09,Medium
INT0450,1.63,5.0,96.09,100.0,High
INT0451,5.56,2.92,92.98,75.21,High
INT0452,4.31,5.0,98.44,94.05,High
INT0453,3.85,4.0,82.52,83.29,High
INT0454,6.27,3.61,7.99,78.85,High
INT0455,1.32,2.9336670179135935,52.78,93.02,High
INT0456,4.33,1.0,81.14,65.9,Medium
INT0457,1.0,1.81,8.93,65.44,Medium
INT0458,3.6,4.08,77.19,64.1,Medium
INT0459,1.55,2.9336670179135935,69.3,64.26,Medium
INT0460,3.9282564102564104,1.1,72.13,81.44,High
INT0461,2.01,4.62,76.18,80.28,High
INT0462,4.58,3.9,56.42,55.05,Medium
INT0463,5.33,2.9,67.97,73.48,High
INT0464,4.13,5.0,53.17,74.97,High
INT0465,6.81,2.45,63.22,49.63,Low
INT0466,3.04,3.28,55.93,62.84,Medium
INT0467,2.9,3.5,30.66,64.59,Medium
INT0468,5.71,2.24,94.56,52.72,Medium
INT0469,1.9,3.19,74.14,86.29,High
INT0470,6.71,2.9,29.94,53.32,Medium
INT0471,1.53,4.09,6.54,83.77,High
INT0472,7.0,5.0,55.79,59.94,Medium
INT0473,1.75,4.0,6.72,87.14,High
INT0474,6.27,1.8,52.6,30.65,Low
INT0475,3.72,3.66,47.12,74.06,High
INT0476,6.77,1.74,90.33,57.61,Medium
INT0477,1.62,3.78,79.3,78.08,High
INT0478,3.96,2.0,80.32,49.51,Low
INT0479,6.62,2.75,60.03,45.08,Low
INT0480,3.7,1.0,67.19,60.49,Medium
INT0481,4.75,1.01,6.08,61.45,Medium
INT0482,4.88,4.58,63.12363354037267,58.98,Medium
INT0483,3.32,4.88,92.9,88.52,High
INT0484,4.68,1.0,74.18,56.5,Medium
INT0485,4.36,1.0,91.86,51.73,Medium
INT0486,6.45,5.0,65.9,67.32,Medium
INT0487,1.52,1.8,0.05,61.27,Medium
INT0488,2.3,2.75,87.58,97.09,High
INT0489,6.99,2.51,89.25,58.54,Medium
INT0490,5.87,3.89,3.17,40.87,Low
INT0491,3.67,1.79,63.12363354037267,62.47,Medium
INT0492,4.81,2.64,54.22,40.62,Low
INT0493,3.12,3.54,53.43,56.53,Medium
INT0494,2.2,2.35,42.71,64.24,Medium
INT0495,3.9282564102564104,3.25,25.56,79.17,High
INT0496,3.14,1.8,98.04,63.92,Medium
INT0497,4.4,2.9336670179135935,32.33,67.16,Medium
INT0498,1.45,4.16,51.26,76.05,High
INT0499,6.55,2.99,80.14,45.46,Low
INT0500,6.92,1.94,64.48,29.47,Low
INT0501,4.84,1.0,71.65,46.69,Low
INT0502,4.46,2.71,51.0,50.05,Medium
INT0503,2.95,4.76,53.23,71.47,High
INT0504,5.46,1.27,16.72,55.16,Medium
INT0505,5.5,4.99,36.85,75.5,High
INT0506,2.1,3.53,51.34,74.58,High
INT0507,6.29,2.61,82.28,51.2,Medium
INT0508,5.49,3.85,59.26,51.66,Medium
INT0509,6.83,2.85,60.31,59.33,Medium
INT0510,5.22,2.89,3.56,49.08,Low
INT0511,5.09,3.09,58.95,41.94,Low
INT0512,3.04,4.82,82.86,73.96,High
INT0513,6.14,3.91,99.72,52.13,Medium
INT0514,6.65,1.0,82.61,51.99,Medium
INT0515,1.73,3.39,9.85,88.82,High
INT0516,1.0,3.78,8.78,78.62,High
INT0517,3.48,3.28,26.57,73.62,High
INT0518,5.58,1.18,95.55,70.63,High
INT0519,7.0,3.76,98.45,65.97,Medium
INT0520,2.27,2.9336670179135935,63.12363354037267,81.17,High
INT0521,4.16,2.9336670179135935,42.38,58.72,Medium
INT0522,3.03,1.72,88.51,81.93,High
INT0523,6.34,4.0,56.62,64.86,Medium
INT0524,5.59,3.53,7.32,59.34,Medium
INT0525,5.56,2.9336670179135935,90.95,58.58,Medium
INT0526,4.11,2.06,56.25,71.96,High
INT0527,3.29,4.13,98.84,78.6,High
INT0528,2.63,2.08,99.28,63.15,Medium
INT0529,1.63,3.57,96.84,100.0,High
INT0530,6.18,2.72,74.8,34.37,Low
INT0531,5.81,2.99,62.3,66.9,Medium
INT0532,6.51,3.84,79.1,64.88,Medium
INT0533,7.0,4.0,32.39,67.19,Medium
INT0534,3.95,1.8,60.3,43.65,Low
INT0535,5.87,4.99,71.18,66.83,Medium
INT0536,6.43,1.71,45.35,48.91,Low
INT0537,6.27,2.12,63.12363354037267,40.76,Low
INT0538,2.63,1.0,6.68,55.68,Medium
INT0539,3.82,3.05,50.89,65.65,Medium
INT0540,1.54,2.72,87.47,78.71,High
INT0541,3.9282564102564104,1.0,82.03,44.52,Low
INT0542,5.0,5.0,53.13,63.66,Medium
INT0543,1.88,4.75,76.51,95.9,High
INT0544,4.71,3.07,12.25,64.18,Medium
INT0545,4.82,3.62,54.17,84.79,High
INT0546,3.47,1.64,67.9,71.08,High
INT0547,1.54,4.0,89.39,99.04,High
INT0548,5.18,2.9336670179135935,51.71,74.08,High
INT0549,4.18,1.19,95.32,60.82,Medium
INT0550,5.19,2.9336670179135935,64.77,56.45,Medium
INT0551,4.24,1.74,78.07,64.81,Medium
INT0552,6.42,1.61,74.1,57.71,Medium
INT0553,4.8,4.1,16.52,62.52,Medium
INT0554,3.9,2.33,78.1,72.45,High
INT0555,6.42,3.8,70.47,59.91,Medium
INT0556,3.33,4.64,88.64,74.86,High
INT0557,1.31,1.8,70.19,63.63,Medium
INT0558,1.28,4.23,8.95,100.0,High
INT0559,5.15,1.24,55.07,42.85,Low
INT0560,4.6,3.89,56.65,76.48,High
INT0561,4.98,2.9336670179135935,28.11,39.89,Low
INT0562,2.14,5.0,52.28,83.62,High
INT0563,1.81,1.16,77.07,62.05,Medium
INT0564,1.0,1.0,6.59,78.73,High
INT0565,3.15,2.79,80.52,53.56,Medium
